Time,Distance,Speed,Throttle,Brake,RPM,nGear,X,Y,Z
9.84,577.6633333333334,268.0,100.0,False,11026.0,7,-3559.22932261992,-3747.9431868876736,850.3457442803136
10.0,589.5744444444446,268.0,100.0,False,11064.0,7,-3495.5413677866654,-3741.7607895008323,852.7491739357478
10.012,590.4700985212206,268.1125,100.0,False,11067.675,7,-3489.0,-3741.0,853.0
10.32,613.6633333333335,271.0,100.0,False,11162.0,7,-3244.768979928026,-3709.49370975687,860.8216975025871
10.332,614.5787151632127,271.06,97.6,False,11160.2,7,-3233.0,-3708.0,861.0
10.513,628.5073215492779,271.96499968,61.4000128,False,11133.0500096,7,-3053.0,-3685.0,862.0
10.72,643.9966666666669,273.0,20.0,False,11102.0,7,-2929.5766861798497,-3663.174122533654,861.2032053073491
10.813,650.5532875689631,260.7937584,11.8625056,False,10675.9440432,7,-2880.0,-3650.0,861.0
10.88,655.1966666666669,252.0,6.0,True,10369.0,7,-2839.870938141894,-3637.970964738519,861.0800225970675
11.073,668.2996263816144,244.28000256,0.21000192000000073,True,11449.7996416,7,-2715.0,-3593.0,862.0
11.08,668.7522222222225,244.0,0.0,True,11489.0,7,-2710.740434331401,-3591.1534021420102,862.0354086095024
11.253,679.4278372636467,224.97000703999998,0.86499968,True,11597.12496,7,-2613.0,-3541.0,863.0
11.28,681.0855555555557,222.0,1.0,True,11614.0,6,-2598.8283776921985,-3532.3826846106526,863.2072622726625
11.373,686.866554988948,222.0,2.85999872,True,11527.04505984,6,-2552.0,-3501.0,864.0
11.48,693.4188888888891,222.0,5.0,True,11427.0,6,-2501.6231303615996,-3461.3981141882796,864.8067262672253
11.692,705.3975343370917,205.21666666666667,8.533333333333333,True,10765.383333333333,6,-2415.0,-3377.0,866.0
11.72,706.9522222222224,203.0,9.0,True,10678.0,5,-2405.20324251322,-3366.0427576076345,866.1180284810125
11.88,715.7966666666669,199.0,12.0,True,10345.0,5,-2355.093619460132,-3299.1061410747816,866.772636726276
11.913,717.5708286853485,197.58571702857142,12.707141485714285,True,10302.807224685714,5,-2345.0,-3281.0,867.0
12.113,727.9348799472613,189.01428845714287,16.992855771428573,True,10047.09293897143,5,-2288.0,-3145.0,869.0
12.16,730.3411111111112,187.0,18.0,False,9987.0,5,-2279.1590312471913,-3116.3865210323006,869.4069296745018
12.4,742.5411111111113,183.0,20.0,False,9615.0,5,-2264.491941307859,-3007.67739723929,870.7039702472756
12.513,748.1104128549556,179.70416853333333,23.766664533333334,False,9587.220849066667,5,-2263.0,-2969.0,871.0
12.64,754.2744444444446,176.0,28.0,False,9556.0,5,-2261.250986505159,-2931.9385585476857,871.1395865916058
